Station,Year,Month,Day,Night,DayLimit,NightLimit
HYD03,2017,4,72,66,55,45
HYD03,2017,5,73,67,55,45
HYD03,2017,6,72,66,55,45
HYD03,2017,7,72,65,55,45
HYD03,2017,8,72,65,55,45
HYD03,2017,9,72,65,55,45
HYD03,2017,10,72,67,55,45
HYD03,2017,11,71,64,55,45
HYD03,2017,12,71,64,55,45
HYD04,2017,1,54,48,50,40
HYD04,2017,2,55,49,50,40
HYD04,2017,3,56,49,50,40
HYD04,2017,4,56,51,50,40
HYD04,2017,5,57,52,50,40
HYD04,2017,6,57,52,50,40
HYD04,2017,7,55,50,50,40
HYD04,2017,8,61,53,50,40
HYD04,2017,9,58,50,50,40
HYD04,2017,10,55,50,50,40
HYD04,2017,11,55,49,50,40
HYD04,2017,12,55,50,50,40
HYD05,2017,1,64,57,65,55
HYD05,2017,2,66,59,65,55
HYD05,2017,3,66,59,65,55
HYD05,2017,4,65,59,65,55
HYD05,2017,5,66,59,65,55
HYD05,2017,6,66,62,65,55
HYD05,2017,7,67,65,65,55
HYD05,2017,8,66,59,65,55
HYD05,2017,9,68,60,65,55
HYD05,2017,10,72,67,65,55
HYD05,2017,11,78,80,65,55
HYD05,2017,12,75,76,65,55
HYD06,2017,1,66,54,55,45
HYD06,2017,2,74,71,55,45
HYD06,2017,3,63,52,55,45
HYD06,2017,4,78,75,55,45
HYD06,2017,5,61,56,55,45
HYD06,2017,6,63,59,55,45
HYD06,2017,7,64,60,55,45
HYD06,2017,8,62,55,55,45
HYD06,2017,9,61,54,55,45
HYD06,2017,10,60,54,55,45
HYD06,2017,11,65,63,55,45
HYD06,2017,12,60,51,55,45
HYD07,2017,1,77,74,75,70
HYD07,2017,2,76,75,75,70
HYD07,2017,3,74,76,75,70
HYD07,2017,4,75,80,75,70
HYD07,2017,5,75,80,75,70
HYD07,2017,6,74,74,75,70
HYD07,2017,7,75,76,75,70
HYD07,2017,8,82,73,75,70
HYD07,2017,9,84,75,75,70
HYD07,2017,10,84,77,75,70
HYD07,2017,11,82,72,75,70
HYD07,2017,12,71,65,75,70
HYD08,2017,1,58,51,50,40
HYD08,2017,2,61,52,50,40
HYD08,2017,3,59,53,50,40
HYD08,2017,4,67,61,50,40
HYD08,2017,5,74,77,50,40
HYD08,2017,6,62,62,50,40
HYD08,2017,7,62,59,50,40
HYD08,2017,8,58,54,50,40
HYD08,2017,9,58,51,50,40
HYD08,2017,10,56,50,50,40
HYD08,2017,11,58,51,50,40
HYD08,2017,12,58,53,50,40
HYD09,2017,1,72,72,65,55
HYD09,2017,2,73,72,65,55
HYD09,2017,3,73,73,65,55
HYD09,2017,4,74,73,65,55
HYD09,2017,5,74,73,65,55
HYD09,2017,6,73,73,65,55
HYD09,2017,7,73,73,65,55
HYD09,2017,8,73,73,65,55
HYD09,2017,9,72,72,65,55
HYD09,2017,10,71,64,65,55
HYD09,2017,11,78,80,65,55
HYD09,2017,12,88,85,65,55
HYD10,2017,1,69,64,65,55
HYD10,2017,2,69,65,65,55
HYD10,2017,3,69,65,65,55
HYD10,2017,4,71,65,65,55
HYD10,2017,5,72,70,65,55
HYD10,2017,6,71,67,65,55
HYD10,2017,7,72,68,65,55
HYD10,2017,8,71,66,65,55
HYD10,2017,9,70,65,65,55
HYD10,2017,10,71,65,65,55
HYD10,2017,11,71,65,65,55
HYD10,2017,12,70,66,65,55
KOL01,2017,1,73,72,75,70
KOL01,2017,2,71,71,75,70
KOL01,2017,3,79,82,75,70
KOL01,2017,4,74,75,75,70
KOL01,2017,5,77,80,75,70
KOL01,2017,6,79,81,75,70
